"","x"
"61","No sólo es que los Borbones sean #LoQueYaSabemosQueSon, es que si lo dices, acabas en la cárcel tú, porque lo que es ellos... unos son inimputables por ley y otros como si lo fuesen.
https://t.co/5BOH37dbJr"
"62","@vergmet no! cuál"
"63","@oskiralaquas @PSOE https://t.co/0fvoXmX4wT"
"64","@dePlaymobil :___)"
"65","Perdón https://t.co/16OVHdf1Ev"
"66","@Eresdral @maite6669 además está presuponiendo el ""género"" de esas hembras. A lo mejor eran machos."
"67","@CarmenMoralesSK @Eresdral cantransmisoginia interiorizada."
"68","@mikealicante XDDD"
"69","@Eresdral @maite6669 la respuesta también es de traca: mi perra quiere montar a los perros: obviamente es un perro, no una perra. 
LOLELOL"
"70","@maite6669 @dunyms @Eresdral no, qué va, qué culpa tendrás los canis."
"71","@Eresdral @maite6669 esta gente luego da lecciones sobre género, sabes?"
"72","@dunyms @Eresdral @maite6669 sin olvidar el gatiarcado y demás opresiones que hay en la naturaleza."
"73","Cierto, me he quedado corta con la comparación https://t.co/0XNyj6gJnX"
"74","@Eresdral @maite6669 el caniarcado es muy duro."
"75","Ciudadanos hablando de ""feminismo"" y contradiciendo a las feministas es como si yo me pongo con to mi jeto a refutar a Stephen Hawking sobre astrofísica."
"76","Jajajajjaja, nos pide ""sonoridad"" y que no ""astengamos"". Ni leyéndolo, la tía. https://t.co/ZJPhStd9u0"
"77","@BeatrizGimeno1 no me jodas que han dicho sonoridad?"
"78","Deberían juzgar a los demandantes por acoso homófobo, que sí es un delito de odio. ¿Cómo dos mujeres besándose puede ser una ofensa? https://t.co/RNxdDdmLA0"
"79","@Blamitter @PSOE qué separación cabe aquí? El ministerio de defensa es el que ha hecho esto. Y la ministra la que tiene la potestad para revertirlo."
"80","@PSOE A ver qué hace la ministra de defensa. 
En estas cosas se suponía que habría alguna diferencia con el PP. https://t.co/E7gvnRITT8"
"81","Claro que sí, ¿por qué no?
Gracias, @PSOE, por darle un arma y un sueldo público a un condenado por abuso sexual. https://t.co/TSOXSANpLo"
"82","@D0N0STIA porque muchos no lo van a usar para reportar"
"83","@D0N0STIA elimina el tuit y repórtalo en YT, por favor, yo ya lo he hecho."
"84","https://t.co/KEBcYpsynX"
"85","@jorge_chaos @Kodama13 @in_efable @peyotexx el género no se elige, se construye y sin tu ayuda. Y no digo que no sufran violencia, digo que mi vagina no oprime a nadie, y menos a un pene."
"86","@nihcalo @CabezonVictoria @Carmen10P no es su hijo, dice el hijo sano del patriarcado."
"87","He escrito sobre Ciudadanos y los vientres de alquiler, pero si seguimos por este camino, los enemigos en este sentido se nos van a multiplicar
https://t.co/VJHSIyd4Is"
"88","Tranquilícese, comandante Waterford. https://t.co/qfA0cvYdZH"
"89","@jorge_chaos @Kodama13 @in_efable @peyotexx No solo vosotros, una mujer blanca y rica es oprimida y opresora. La cosa no va de e eso, hablamos del término ""cis"" y de como la anatomía que te lleva a la opresión  no puede ser un privilegio."
"90","@teacher_ade hacia el final se va volviendo duro"
"91","'Nanette' de Hannah Gadsby.
💔"
"92","He escrito sobre Ciudadanos y los vientres de alquiler.

https://t.co/VJHSIyd4Is
Mañana en abierto."
"93","@punkycoliflower  https://t.co/8livFRuSMC"
"94","No voy sola, voy con mi parrús.
https://t.co/V3gxPieqqx https://t.co/1dQjZb5gW3"
"95","Cuando propones no violar: https://t.co/5BCiAUbzfZ"
"96","@xaumel se te ve el plumero, ve a pavonearlo a otro sitio, Manolo."
"97","@xaumel estás dándome la razón: van a esa mani a vender su moto, no a defender al colectivo. Márketing. Por eso el colectivo les pita, les silba y les grita que se marchen mientras ellos sonríen para el vídeo. Infórmate antes de hablar."
